species_slug,latitude,longitude,state,county,outcome,district_id_before,district_id_after,distance_km,notes
malacosoma-disstria,51.932,-114.035,AB,,unassigned,,,,
malacosoma-disstria,52.466,-114.051,AB,,unassigned,,,,
malacosoma-disstria,49.026,-113.685,AB,,unassigned,,,,
agrotis-vancouverensis,50.383,-114.667,AB,,unassigned,,,,
agrotis-orthogonia,49.694,-112.842,AB,,unassigned,,,,
feltia-jaculifera,51.05,-114.083,AB,,unassigned,,,,
feltia-jaculifera,49.694,-112.842,AB,,unassigned,,,,
feltia-nigrita,52.467,-116.083,AB,,unassigned,,,,
malacosoma-disstria,53.659,-111.366,AB,,unassigned,,,,
feltia-nigrita,52.517,-116.1,AB,,unassigned,,,,
feltia-mollis,52.467,-116.083,AB,,unassigned,,,,
anicla-tepperi,51.05,-114.083,AB,,unassigned,,,,
actebia-balanitis,51.05,-114.083,AB,,unassigned,,,,
actebia-balanitis,51.05,-114.083,AB,,unassigned,,,,
feltia-nigrita,51.167,-115.566,AB,,unassigned,,,,
copablepharon-viridisparsa,49.694,-112.842,AB,,unassigned,,,,
copablepharon-viridisparsa,51.05,-114.083,AB,,unassigned,,,,
copablepharon-viridisparsa,49.694,-112.842,AB,,unassigned,,,,
actebia-balanitis,50.209,-114.458,AB,,unassigned,,,,
actebia-fennica,49.694,-112.842,AB,,unassigned,,,,
anicla-tepperi,49.1,-110.567,AB,,unassigned,,,,
anicla-exuberans,50.58,-113.874,AB,,unassigned,,,,
malacosoma-disstria,51.05,-114.083,AB,,unassigned,,,,
acronicta-grisea,53.01,-114.5,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
raphia-frater,53.566,-113.822,AB,,unassigned,,,,
lasionycta-impingens,50.2,-114.44,AB,,unassigned,,,,
cryptocala-acadiensis,50.2,-114.44,AB,,unassigned,,,,
acronicta-lupini,51.049,-114.863,AB,,unassigned,,,,
acronicta-grisea,53.363,-113.002,AB,,unassigned,,,,
panthea-virginarius,50.624,-115.129,AB,,unassigned,,,,
acronicta-radcliffei,53.545,-113.434,AB,,unassigned,,,,
xestia-smithii,51.7,-116.49,AB,,unassigned,,,,
acronicta-grisea,52.747,-114.739,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
panthea-furcilla,51.659,-114.143,AB,,unassigned,,,,
acronicta-grisea,52.494,-112.696,AB,,unassigned,,,,
acronicta-fragilis,53.545,-113.434,AB,,unassigned,,,,
acronicta-impressa,53.55,-113.47,AB,,unassigned,,,,
panthea-virginarius,50.624,-115.129,AB,,unassigned,,,,
raphia-frater,53.326,-113.092,AB,,unassigned,,,,
xestia-vernilis,51.77,-116.56,AB,,unassigned,,,,
heliothis-ononis,51.12,-114.12,AB,,unassigned,,,,
apantesis-parthenice,50.2,-114.44,AB,,unassigned,,,,
acronicta-hasta,53.545,-113.434,AB,,unassigned,,,,
acronicta-lepusculina,49.723,-113.404,AB,,unassigned,,,,
drasteria-petricola,50.2,-114.52,AB,,unassigned,,,,
lasionycta-impingens,51.7,-116.49,AB,,unassigned,,,,
acronicta-insita,53.55,-113.47,AB,,unassigned,,,,
